Date,"B1  
Absolute Media Spends Non TV (Print)","Category 
Absolute Media Spends Non TV (Incl. Print / Outdoor etc)",C1,C2,C3,C4,C5,C6,C7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-01,,"15,015","14,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-02,"154,471","158,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-02,"126,568","132,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-02,"54,551","59,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-02,"54,551","278,619","133,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-02,"65,442","70,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-02,"200,694","245,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-02,"189,715","216,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-02,"205,130","223,960","6,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-02,"65,390","84,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-02,"141,284","150,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-02,"19,916","24,947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-02,"153,660","160,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-03,"67,600","184,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-03,,"2,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-03,,"28,230",,"21,762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-03,,"19,643",,"7,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-03,,"61,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-03,"238,017","357,809","49,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-03,"294,489","365,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-03,"117,234","175,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-03,"151,138","226,265","25,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-03,"31,590","196,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-03,,"41,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-03,,"40,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-04,,"35,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-04,"81,744","94,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-04,"211,783","220,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-04,"120,068","302,471","152,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-04,"254,202","746,551","452,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-04,"128,375","451,991","282,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-04,"13,312","156,865","95,843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-04,"54,054","562,465","455,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-04,"139,406","790,186","583,603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-04,"288,275","901,534","590,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
