Date,"B1  
Wtd Val Distn (%)","Category 
 Wtd Val Distn (%)",C1,C2,C3,C4,C5,C6,C7
Oct-01,43 ,100 ,91 ,32 ,22 ,9 ,26 ,5 ,2 
Nov-01,44 ,100 ,91 ,31 ,20 ,9 ,26 ,5 ,2 
Dec-01,44 ,100 ,91 ,31 ,20 ,9 ,26 ,5 ,2 
Jan-02,44 ,100 ,91 ,32 ,19 ,9 ,25 ,5 ,2 
Feb-02,44 ,100 ,91 ,32 ,19 ,9 ,25 ,5 ,2 
Mar-02,45 ,100 ,91 ,32 ,19 ,7 ,23 ,5 ,2 
Apr-02,45 ,100 ,91 ,32 ,19 ,7 ,23 ,5 ,2 
May-02,46 ,100 ,91 ,32 ,19 ,7 ,23 ,4 ,2 
Jun-02,46 ,100 ,91 ,32 ,19 ,7 ,23 ,4 ,2 
Jul-02,47 ,100 ,92 ,32 ,18 ,7 ,23 ,4 ,2 
Aug-02,47 ,100 ,92 ,32 ,18 ,7 ,23 ,4 ,2 
Sep-02,50 ,100 ,93 ,35 ,20 ,8 ,25 ,4 ,1 
Oct-02,50 ,100 ,93 ,35 ,20 ,8 ,25 ,4 ,1 
Nov-02,48 ,100 ,93 ,33 ,19 ,7 ,23 ,4 ,1 
Dec-02,48 ,100 ,93 ,33 ,19 ,7 ,23 ,4 ,1 
Jan-03,49 ,100 ,93 ,32 ,18 ,7 ,23 ,4 ,1 
Feb-03,49 ,100 ,93 ,32 ,18 ,7 ,23 ,4 ,1 
Mar-03,50 ,100 ,93 ,31 ,17 ,8 ,23 ,4 ,1 
Apr-03,50 ,100 ,93 ,31 ,17 ,8 ,23 ,4 ,1 
May-03,51 ,100 ,92 ,33 ,18 ,8 ,23 ,4 ,1 
Jun-03,51 ,100 ,92 ,33 ,18 ,8 ,23 ,4 ,1 
Jul-03,52 ,100 ,92 ,33 ,19 ,7 ,23 ,4 ,1 
Aug-03,52 ,100 ,92 ,33 ,19 ,7 ,23 ,4 ,2 
Sep-03,54 ,100 ,92 ,35 ,19 ,7 ,23 ,4 ,2 
Oct-03,54 ,100 ,92 ,35 ,19 ,7 ,23 ,4 ,2 
Nov-03,51 ,100 ,90 ,32 ,13 ,6 ,20 ,3 ,2 
Dec-03,51 ,100 ,89 ,31 ,15 ,6 ,19 ,4 ,2 
Jan-04,51 ,100 ,90 ,31 ,16 ,5 ,19 ,3 ,1 
Feb-04,53 ,100 ,90 ,32 ,17 ,5 ,19 ,3 ,1 
Mar-04,53 ,100 ,90 ,30 ,15 ,6 ,19 ,3 ,1 
Apr-04,54 ,100 ,90 ,30 ,15 ,6 ,19 ,3 ,1 
May-04,55 ,100 ,91 ,32 ,16 ,5 ,19 ,3 ,1 
Jun-04,55 ,100 ,90 ,31 ,15 ,5 ,19 ,3 ,1 
Jul-04,57 ,100 ,90 ,32 ,15 ,5 ,20 ,3 ,1 
Aug-04,58 ,100 ,90 ,33 ,16 ,5 ,19 ,3 ,1 
Sep-04,58 ,100 ,90 ,34 ,16 ,5 ,19 ,3 ,1 
Oct-04,57 ,100 ,90 ,32 ,14 ,5 ,17 ,3 ,1 
